
---------- Begin Simulation Statistics ----------
simSeconds                                   7.866593                       # Number of seconds simulated (Second)
system.cpu0.commit.numCommittedDist::4      652107105      8.32%     87.72% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::5      102283221      1.30%     89.03% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::6      132241021      1.69%     90.71% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::7      139074035      1.77%     92.49% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::8      588912002      7.51%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::total   7838639407                       # Number of insts commited each cycle (Count)
system.cpu0.commit.instsCommitted         12143161884                       # Number of instructions committed (Count)
system.cpu0.commit.opsCommitted           12143175830                       # Number of ops (including micro ops) committed (Count)
system.cpu0.commit.memRefs                 3411357005                       # Number of memory references committed (Count)
system.cpu0.commit.loads                   2611468632                       # Number of loads committed (Count)
system.cpu0.commit.amos                         18355                       # Number of atomic instructions committed (Count)
system.cpu0.commit.membars                      25777                       # Number of memory barriers committed (Count)
system.cpu0.commit.branches                2610515898                       # Number of branches committed (Count)
system.cpu0.commit.vectorInstructions               0                       # Number of committed Vector instructions. (Count)
system.cpu0.commit.floating                2979116058                       # Number of committed floating point instructions. (Count)
system.cpu0.commit.integer                10733500724                       # Number of committed integer instructions. (Count)
system.cpu0.commit.functionCalls             14987203                       # Number of function calls committed. (Count)
system.cpu0.commit.committedInstType_0::No_OpClass       938450      0.01%      0.01% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntAlu   7085489887     58.35%     58.36% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntMult    122368592      1.01%     59.37% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntDiv      6119833      0.05%     59.42% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatAdd    568754315      4.68%     64.10% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCmp    154825541      1.28%     65.37% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCvt    101780054      0.84%     66.21% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMult    260291540      2.14%     68.36% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMultAcc    255976648      2.11%     70.46% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatDiv     32154090      0.26%     70.73% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMisc    143119730      1.18%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatSqrt          145      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAdd            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAddAcc            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAlu            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCmp            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCvt            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMisc            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMult            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMultAcc            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShift            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShiftAcc            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdDiv            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdSqrt            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatAdd            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatAlu            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatCmp            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatCvt            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatDiv            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatMisc            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatMult            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdReduceAdd            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdReduceAlu            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdReduceCmp            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatReduceAdd            0      0.00%     71.91% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     71.91% # Class of committed instruction (Count)
