
---------- Begin Simulation Statistics ----------
simSeconds                                   7.477716                       # Number of seconds simulated (Second)
system.cpu0.MemDepUnit__0.conflictingLoads     77224894                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores     61579938                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.branchPred.lookups             2521685807                       # Number of BP lookups (Count)
system.cpu0.branchPred.condPredicted       2237135542                       # Number of conditional branches predicted (Count)
system.cpu0.branchPred.condIncorrect         20116881                       # Number of conditional branches incorrect (Count)
system.cpu0.branchPred.BTBLookups          1899408254                       # Number of BTB lookups (Count)
system.cpu0.branchPred.BTBUpdates             8886580                       # Number of BTB updates (Count)
system.cpu0.branchPred.BTBHits             1898406677                       # Number of BTB hits (Count)
system.cpu0.branchPred.BTBHitRatio           0.999473                       # BTB Hit Ratio (Ratio)
system.cpu0.branchPred.RASUsed               32257968                       # Number of times the RAS was used to get a target. (Count)
system.cpu0.branchPred.RASIncorrect              6214                       # Number of incorrect RAS predictions. (Count)
system.cpu0.branchPred.indirectLookups       15408763                       # Number of indirect predictor lookups. (Count)
system.cpu0.branchPred.indirectHits          15090391                       # Number of indirect target hits. (Count)
system.cpu0.branchPred.indirectMisses          318372                       # Number of indirect misses. (Count)
system.cpu0.branchPred.indirectMispredicted        92514                       # Number of mispredicted indirect branches. (Count)
system.cpu0.commit.commitSquashedInsts      603609933                       # The number of squashed insts skipped by commit (Count)
system.cpu0.commit.commitNonSpecStalls        3079885                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu0.commit.branchMispredicts         16427200                       # The number of times a branch was mispredicted (Count)
system.cpu0.commit.numCommittedDist::samples   7388328534                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::mean     1.566695                       # Number of insts commited each cycle (Count)
